Name,Type,Breed,Breed_Corrected,Color,Color_Corrected,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
*PHYLIS,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/WHITE,BRN TABBY,Spayed,KITTN,5/11/2023,K23-045714,LOBBY,A419661,8/15/2023,9/13/2023,29,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*BUFFY,DOG,LABRADOR RETR/MIX,LABRADOR RETR,WHITE,WHITE,Spayed,LARGE,9/11/2022,K23-046019,DA37,A420310,9/11/2023,10/24/2023,43,STRAY,FIELD,ADOPTION,OTH_MEDIA,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95425,"95425(38.79895, -123.01762)",1,23501
ZOE,DOG,PIT BULL,PIT BULL,BLACK/WHITE,BLACK,Spayed,MED,2/4/2022,K23-045419,DA31,A419090,7/16/2023,8/26/2023,41,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
*BARNEY,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,SMALL,3/25/2023,K23-045812,LOBBY,A419936,8/25/2023,9/14/2023,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
,OTHER,SILKIE,SILKIE,GRAY/RED,GRAY,Male,SMALL,,K23-046046,LS02,A420353,9/12/2023,10/24/2023,42,STRAY,FIELD,ADOPTION,REFERRAL-O,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95407,"95407(38.4127094, -122.7412153)",1,26079
BENJI,DOG,PIT BULL,PIT BULL,BLACK,BLACK,Neutered,PUPPY,12/11/2022,K23-044116,DA14,A416252,3/17/2023,4/18/2023,32,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*SHEILA,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY,GRAY TABBY,Spayed,KITTN,6/29/2023,K23-045688,LOBBY,A419577,8/11/2023,9/15/2023,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1,31016
*SANDY,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Spayed,KITTN,6/29/2023,K23-045687,LOBBY,A419576,8/11/2023,9/15/2023,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1,31016
*KEN,DOG,BELG MALINOIS/MIX,BELG MALINOIS,TAN/BLACK,TAN,Neutered,PUPPY,5/8/2023,K23-045837,DA10,A419063,8/29/2023,9/15/2023,17,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*TREASURE,CAT,DOMESTIC SH,DOMESTIC SH,CALICO,CALICO,Spayed,SMALL,7/21/2021,K23-045012,CA02,A418218,6/13/2023,9/15/2023,94,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,*SEBASTOPOL,95472,"95472(38.4007555, -122.8277055)",1,31039
*LIZZIE,DOG,GERM SHEPHERD/MIX,GERM SHEPHERD,TAN/WHITE,TAN,Spayed,PUPPY,10/27/2022,K23-045957,DA32,A419331,9/6/2023,9/15/2023,9,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
TATER TOT,CAT,DOMESTIC MH,DOMESTIC MH,GRAY TABBY,GRAY TABBY,Spayed,KITTN,8/13/2023,K23-046015,LOBBY,A420300,9/10/2023,10/25/2023,45,STRAY,FIELD,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*ROZ,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY,GRAY TABBY,Spayed,KITTN,5/19/2023,K23-045451,LOBBY,A419149,7/19/2023,9/16/2023,59,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94952,"94952(38.237, -122.640695)",1,11138
*GROVER,DOG,PARSON RUSS TER/MIX,PARSON RUSS TER,WHITE/BROWN,WHITE,Neutered,SMALL,8/8/2021,K23-046006,DA45,A419522,9/9/2023,9/16/2023,7,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
OREO,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY/WHITE,BRN TABBY,Spayed,KITTN,4/14/2023,K23-045671,CA02,A419557,8/22/2023,9/16/2023,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.44366, -122.7246163)",1,26075
*LADY GREY,CAT,DOMESTIC SH,DOMESTIC SH,TORTIE,TORTIE,Spayed,KITTN,6/26/2023,K23-045200,LOBBY,A418691,6/29/2023,9/16/2023,79,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*ROSIE,CAT,DOMESTIC SH,DOMESTIC SH,BLK TABBY/TORTIE,BLK TABBY,Spayed,KITTN,6/29/2023,K23-045690,LOBBY,A419579,8/11/2023,9/16/2023,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95444,"95444(38.43463, -122.868295)",1,23753
MANCHAS,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY/WHITE,BRN TABBY,Spayed,KITTN,4/14/2023,K23-045672,CA02,A419558,8/22/2023,9/16/2023,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.44366, -122.7246163)",1,26075
*HERA,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Spayed,KITTN,6/26/2023,K23-045162,LOBBY,A418626,6/27/2023,9/16/2023,81,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
RED,CAT,DOMESTIC SH,DOMESTIC SH,ORG TABBY,ORG TABBY,Neutered,SMALL,12/25/2022,K23-046410,CA03,A421083,10/10/2023,10/26/2023,16,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.4127094, -122.7412153)",1,26079
CHANCE,DOG,GERM SHEPHERD/MIX,GERM SHEPHERD,RED,RED,Neutered,MED,10/1/2021,K22-042387,DA05,A412256,8/30/2022,9/15/2022,16,ADOPTION RETURN,PHONE,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95409,"95409(38.46382, -122.67058)",1,26080
CHANCE,DOG,GERM SHEPHERD/MIX,GERM SHEPHERD,RED,RED,Neutered,MED,10/1/2021,K22-041815,DA04,A412256,7/1/2022,8/27/2022,57,STRAY,OVER THE COUNTER,ADOPTION,MOB EVENT,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
BANDIT,DOG,GERM SHEPHERD,GERM SHEPHERD,BLACK/BROWN,BLACK,Neutered,PUPPY,4/16/2022,K22-042289,DA32,A412934,8/20/2022,9/21/2022,32,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
RICKEY,DOG,CHIHUAHUA SH/DACHSHUND,CHIHUAHUA SH,CREAM,CREAM,Neutered,PUPPY,4/15/2023,K23-045057,DA08,A418340,6/15/2023,7/7/2023,22,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*EDAMAME,DOG,MALTESE,MALTESE,WHITE,WHITE,Spayed,TOY,4/4/2022,K23-046128,DA37,A420468,9/16/2023,10/26/2023,40,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
ALLIE,DOG,CAIRN TERRIER/MIX,CAIRN TERRIER,BROWN,BROWN,Spayed,SMALL,7/27/2016,K23-045547,FOSTER,A419341,7/27/2023,9/19/2023,54,STRAY,FIELD,ADOPTION,FINDER,UNKNOWN,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*HOLLY,CAT,SIAMESE,SIAMESE,SEAL PT,SEAL PT,Spayed,SMALL,8/8/2019,K23-045662,CA02,A419544,8/8/2023,9/19/2023,42,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
*MR ADVENTURE,CAT,DOMESTIC SH,DOMESTIC SH,BUFF,BUFF,Neutered,KITTN,6/26/2023,K23-045197,LOBBY,A418688,6/29/2023,9/19/2023,82,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95492,"95492(38.541355, -122.80026)",1,31428
*KATSU,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/WHITE,BRN TABBY,Neutered,KITTN,7/5/2023,K23-045933,LOBBY,A420164,9/5/2023,10/27/2023,52,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95442,"95442(38.3647404, -122.5281654)",1,23751
*VADER,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY,GRAY TABBY,Neutered,KITTN,7/5/2023,K23-045936,CA03,A420168,9/5/2023,9/20/2023,15,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*TIFF,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY,BRN TABBY,Spayed,KITTN,7/22/2023,K23-045716,LOBBY,A419669,8/15/2023,10/27/2023,73,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95442,"95442(38.3647404, -122.5281654)",1,23751
*JERRY,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Spayed,SMALL,10/9/2022,K23-046038,CA02,A420332,9/12/2023,10/27/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*NICK,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,KITTN,8/13/2023,K23-046016,LOBBY,A420301,9/10/2023,10/27/2023,47,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95476,"95476(38.288405, -122.464525)",1,31040
*LEGOLAS,CAT,DOMESTIC MH,DOMESTIC MH,BLACK/WHITE,BLACK,Neutered,KITTN,8/5/2023,K23-045931,LOBBY,A420162,9/5/2023,10/27/2023,52,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95476,"95476(38.288405, -122.464525)",1,31040
*BIANCA,DOG,GREAT PYRENEES,GREAT PYRENEES,WHITE,WHITE,Spayed,MED,10/17/2020,K23-046042,DA06,A420343,9/12/2023,10/27/2023,45,STRAY,FLD_STRAY,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*HERBIE,DOG,CAIRN TERRIER/MIX,CAIRN TERRIER,TAN,TAN,Neutered,SMALL,9/12/2022,K23-046045,MISSING,A420347,9/12/2023,10/27/2023,45,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*RAVEN,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Spayed,SMALL,4/18/2022,K23-045992,CA02,A420269,9/9/2023,10/27/2023,48,CONFISCATE,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*ECHO,DOG,SIBERIAN HUSKY,SIBERIAN HUSKY,BLACK/WHITE,BLACK,Neutered,LARGE,1/18/2022,K23-045099,DA35,A418437,6/20/2023,10/28/2023,130,STRAY,FIELD,ADOPTION,REFERRAL-V,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*FLAAP,CAT,DOMESTIC MH,DOMESTIC MH,GRAY,GRAY,Neutered,KITTN,6/26/2023,K23-045520,CA03,A419308,7/26/2023,9/21/2023,57,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
*DUMPLING,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Spayed,KITTN,7/13/2023,K23-046058,LOBBY,A420378,9/13/2023,10/28/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.47872, -122.890155)",1,23747
*OHPA,CAT,DOMESTIC MH,DOMESTIC MH,GRAY TABBY,GRAY TABBY,Neutered,KITTN,7/29/2023,K23-046247,LOBBY,A420729,9/27/2023,10/28/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
*RUMBLE,DOG,CATAHOULA/PIT BULL,CATAHOULA,RED MERLE/BLUE MERLE,RED MERLE,Neutered,MED,12/13/2021,K23-044613,DA08,A417358,5/9/2023,10/28/2023,172,STRAY,OVER THE COUNTER,ADOPTION,INSTAGRAM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*LEO,DOG,PAPILLON/CHIHUAHUA LH,PAPILLON,TAN/WHITE,TAN,Neutered,SMALL,5/25/2022,K23-046206,DA37,A420656,9/25/2023,10/28/2023,33,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
MILO,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,KITTN,5/30/2023,K23-045883,CA02,A420093,9/1/2023,9/21/2023,20,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.34933, -122.69228)",1,1829
*EEK,CAT,DOMESTIC SH,DOMESTIC SH,BLACK/WHITE,BLACK,Neutered,KITTN,7/17/2023,K23-045591,CA03,A419415,8/1/2023,9/21/2023,51,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1,26077
HARRY,CAT,DOMESTIC MH,DOMESTIC MH,ORG TABBY,ORG TABBY,Neutered,KITTN,7/29/2023,K23-046246,LOBBY,A420728,9/27/2023,10/28/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
*SIMON,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Neutered,SMALL,8/13/2023,K23-046017,LOBBY,A420302,9/10/2023,10/31/2023,51,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
*ERNIE,CAT,DOMESTIC SH,DOMESTIC SH,GRAY/WHITE,GRAY,Neutered,KITTN,5/30/2023,K23-045882,CA02,A420092,9/1/2023,9/22/2023,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*BUGBEAR,CAT,DOMESTIC SH,DOMESTIC SH,BUFF,BUFF,Neutered,KITTN,6/26/2023,K23-045196,LOBBY,A418687,6/29/2023,9/22/2023,85,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*SPRITE,CAT,DOMESTIC SH,DOMESTIC SH,BUFF,BUFF,Spayed,KITTN,6/26/2023,K23-045199,LOBBY,A418690,6/29/2023,9/22/2023,85,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*SAPHIRA,CAT,DOMESTIC SH,DOMESTIC SH,BLACK,BLACK,Spayed,SMALL,5/25/2021,K23-044839,WESTFARM,A417808,5/25/2023,9/13/2023,111,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
*VANNA,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY/TORTIE,BRN TABBY,Spayed,KITTN,5/8/2023,K23-045315,CA02,A418895,7/8/2023,9/22/2023,76,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
LADY,DOG,GERM SHEPHERD,GERM SHEPHERD,TAN/BLACK,TAN,Spayed,MED,7/19/2015,K22-042013,DA09,A412503,7/18/2022,3/4/2023,229,STRAY,FIELD,ADOPTION,REFERRAL-F,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,OUT OF COUNTY,93117,"93117(34.424075, -119.869635)",1,5119
*MOBY,DOG,GREAT PYRENEES,GREAT PYRENEES,WHITE,WHITE,Neutered,MED,2/17/2022,K23-046580,DA35,A418990,10/25/2023,10/31/2023,6,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,OUT OF COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
JACK,CAT,DOMESTIC MH,DOMESTIC MH,BRN TABBY,BRN TABBY,Neutered,KITTN,7/29/2023,K23-046243,LOBBY,A420725,9/27/2023,10/28/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)",1,26076
LITA,DOG,LABRADOR RETR/PIT BULL,LABRADOR RETR,TAN/BLACK,TAN,Spayed,LARGE,1/3/2015,K23-043497,DA33,A370582,1/3/2023,9/23/2023,263,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL-F,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,*ROHNERT PARK,94928,"94928(38.34933, -122.69228)",1,1829
*SCHWARTZ,CAT,DOMESTIC LH,DOMESTIC LH,BUFF,BUFF,Neutered,KITTN,7/7/2023,K23-045971,CA02,A420238,9/7/2023,9/23/2023,16,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*ANDY,DOG,BELG MALINOIS/MIX,BELG MALINOIS,BLACK/TAN,BLACK,Neutered,PUPPY,6/2/2023,K23-046524,DA06,A420031,10/18/2023,10/31/2023,13,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.4127094, -122.7412153)",1,26079
*CHARLIE,CAT,DOMESTIC SH,DOMESTIC SH,GRAY,GRAY,Neutered,KITTN,8/13/2023,K23-046014,LOBBY,A420299,9/10/2023,10/31/2023,51,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
MAX,DOG,SCHNAUZER MIN/MIX,SCHNAUZER MIN,GRAY/TAN,GRAY,Neutered,SMALL,8/30/2020,K23-045712,DA20,A419632,8/14/2023,9/26/2023,43,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1,31016
*MOBY,DOG,GREAT PYRENEES,GREAT PYRENEES,WHITE,WHITE,Neutered,MED,2/17/2022,K23-046051,DA14,A418990,9/13/2023,9/26/2023,13,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95409,"95409(38.46382, -122.67058)",1,26080
SHADY,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Spayed,KITTN,8/8/2022,K23-043510,LOBBY,A414738,1/5/2023,2/9/2023,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1,26079
OLIVE,CAT,DOMESTIC MH,DOMESTIC MH,GRAY,GRAY,Spayed,KITTN,4/25/2023,K23-045310,LOBBY,A418878,7/7/2023,9/7/2023,62,STRAY,OVER THE COUNTER,ADOPTION,OTH_MEDIA,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
*TJ,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Neutered,KITTN,6/16/2023,K23-045595,LOBBY,A419420,8/1/2023,9/26/2023,56,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,94951,"94951(38.294195, -122.670365)",1,1844
PEPITA,CAT,DOMESTIC SH,DOMESTIC SH,BRN TABBY,BRN TABBY,Spayed,KITTN,6/26/2023,K23-045164,LOBBY,A418628,6/27/2023,9/26/2023,91,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
*GUMBO,DOG,RHOD RIDGEBACK/MIX,RHOD RIDGEBACK,BROWN/BLACK,BROWN,Neutered,X-LRG,8/15/2022,K23-045288,DA43,A418827,7/6/2023,8/23/2023,48,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94591,"94591(38.10605, -122.22251)",1,1181
*NORI,CAT,SIAMESE/MIX,SIAMESE,LYNX PT,LYNX PT,Spayed,KITTN,1/13/2023,K23-044192,LOBBY,A416382,3/25/2023,4/14/2023,20,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INSTAGRAM,HEALTHY,HEALTHY,SANTA ROSA,*COTATI,94931,"94931(38.3260186, -122.706422)",1,1832
*MARCUS,CAT,DOMESTIC SH,DOMESTIC SH,GRAY TABBY,GRAY TABBY,Neutered,SMALL,7/7/2023,K23-045938,LOBBY,A420170,9/5/2023,9/26/2023,21,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94951,"94951(38.294195, -122.670365)",1,1844
*FRED,CAT,DOMESTIC SH,DOMESTIC SH,GRAY/WHITE,GRAY,Neutered,SMALL,3/25/2023,K23-045813,WESTFARM,A419937,8/25/2023,9/23/2023,29,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
ODIN,CAT,DOMESTIC SH,DOMESTIC SH,BLK TABBY,BLK TABBY,Neutered,KITTN,6/29/2023,K23-045689,LOBBY,A419578,8/11/2023,9/19/2023,39,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1,26075
*FLUFFY,CAT,DOMESTIC MH,DOMESTIC MH,CALICO,CALICO,Spayed,KITTN,6/22/2023,K23-045881,LOBBY,A420091,9/1/2023,9/26/2023,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1,26076
*PLUM,DOG,CHIHUAHUA SH,CHIHUAHUA SH,RED/WHITE,RED,Spayed,SMALL,10/27/2019,K23-046264,DA18,A420756,9/28/2023,11/1/2023,34,STRAY,FLD_STRAY,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94063,"94063(37.48549, -122.223965)",1,28608
*PENNY,CAT,DOMESTIC SH,DOMESTIC SH,TORTIE,TORTIE,Spayed,SMALL,10/5/2021,K23-046345,CA02,A420936,10/5/2023,11/1/2023,27,STRAY,FIELD,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1,31428
*KIWI,DOG,CHIHUAHUA SH,CHIHUAHUA SH,TAN/WHITE,TAN,Spayed,SMALL,10/19/2021,K23-046263,DA18,A420757,9/28/2023,11/1/2023,34,STRAY,FLD_STRAY,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1,26080
*SASSY,CAT,DOMESTIC SH,DOMESTIC SH,BUFF,BUFF,Spayed,KITTN,6/26/2023,K23-045198,LOBBY,A418689,6/29/2023,9/27/2023,90,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94930,"94930(37.987165, -122.589765)",1,1831
*FATTY ARBUCKLE,CAT,DOMESTIC SH,DOMESTIC SH,BUFF,BUFF,Neutered,KITTN,6/26/2023,K23-045195,LOBBY,A418686,6/29/2023,9/27/2023,90,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94930,"94930(37.987165, -122.589765)",1,1831
KALI,DOG,RAT TERRIER/MIX,RAT TERRIER,BLACK/WHITE,BLACK,Spayed,SMALL,4/1/2017,K23-044260,DA32,A416469,4/1/2023,5/2/2023,31,STRAY,FIELD,ADOPTION,VOLUNTEER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1,26078
